VIN,Year,Make,Model,Trim,Price,Miles
4T1DAACK3TU23D868,2026,Toyota,Camry,SE,34600,0
W1N4M4HB5TW479691,2026,Mercedes-Benz,GLB,GLB 250,52952,6
55SWF6EB9JU250411,2018,Mercedes-Benz,C-Class Sedan,AMG C43,22895,85195
ZHWUA6ZX9PLA25399,2023,Lamborghini,Huracan,STO,550000,1152
5XYRKDJF4TG456948,2026,Kia,Sorento,X-Line SX Prestige,46603,null
1GNEVGKS5TJ320564,2026,Chevrolet,Traverse,LT,44695,3
3GNAXHEG6TL253634,2026,Chevrolet,Equinox,LT,29388,3
2C4RC1N73JR105455,2018,Chrysler,Pacifica Hybrid,Limited,16740,75957
7MMVABBM1SN309626,2025,Mazda,CX-50,Preferred,24673,51046
3HDSA2H32SM711472,2025,Acura,ADX,Base,34500,13
WP1AA2XAXSL002721,2025,Porsche,Macan,Base,80313,1767
3C4NJDBN9TT200997,2026,Jeep,Compass,Altitude,31628,12
5UX33EU03T9383443,2026,BMW,X5,M60i,104250,7
2HKRS4H46TH484926,2026,Honda,CR-V,EX,36967,3
1FMDE7BH2SLB70971,2025,Ford,Bronco 4-Door,Big Bend,45539,10
3FTTW8JA9TRA33360,2026,Ford,Maverick,XLT,34789,8
JF2GTACC9M9662342,2021,Subaru,Crosstrek,Premium,19955,86274
1GNERGKSXTJ262844,2026,Chevrolet,Traverse,LT,38878,16702
3TMLB5JN6SM111019,2025,Toyota,Tacoma,SR5,39297,20771
3TMCZ5AN4PM633070,2023,Toyota,Tacoma,SR,36432,30735
SALE27EU6S2393006,2025,Land Rover,Defender,X-Dynamic SE,71688,21348
1FTEW1E53KFD36546,2019,Ford,F-150,Lariat,null,98257
SALE27EU2T2510842,2026,Land Rover,Defender,X-Dynamic SE,91101,74
3C4PJMC27TT210375,2026,Jeep,Cherokee,Overland,45373,0
YV4EK3ZL1T2633093,2026,Volvo,EX30,Ultra,44220,null
2T2BAMCA6TC21B991,2026,Lexus,RX,350,63393,null
JM1NDAM76T0702223,2026,Mazda,MX-5,GT,39536,11
19XFL2H84TE018648,2026,Honda,Civic Hatchback,Sport,28213,10
3VW5W7BU0TM028036,2026,Volkswagen,Jetta,S,23227,20
1FT8W2BM6TED17835,2026,Ford,F-250 Super Duty,XLT,68756,5
1FMEE7BH4SLB83399,2025,Ford,Bronco 4-Door,Big Bend,54924,5
1FM5K8AB8TGB62867,2026,Ford,Explorer,Utility Police Interceptor,50905,10
3HDSA2H78TM704384,2026,Acura,ADX,A-spec w/Advance Package,46450,10
JTENU5JR2N6001316,2022,Toyota,4Runner,SR5 Premium,38677,74151
1FTRF2BN6REC20687,2024,Ford,F-250 Super Duty,XL,62550,647
1C4HJXDGXJW272358,2018,Jeep,All-New Wrangler Unlimited,Sport S,18400,79660
19XFL2H83TE023887,2026,Honda,Civic Hatchback,Sport,28213,3
1V2BN2CA5TC575528,2026,Volkswagen,Atlas,SEL,47273,6
WVGAWVEB5SH013448,2025,Volkswagen,ID. Buzz,PRO S,52431,13
5N1BT3BBXTC750424,2026,Nissan,Rogue,Rock Creek,36014,4
1GTUUDED9TZ312620,2026,GMC,Sierra 1500,SLT,63139,50
3GNKBHR49SS230176,2025,Chevrolet,Blazer,2LT,29821,27486
1C4RDJDG7TC272976,2026,Dodge,Durango,GT Plus,48582,13
3KPFT4DEXTE327970,2026,Kia,K4,LXS,23453,5
KL47LAEP2TB136523,2026,Buick,Envista,Preferred,25826,6
KL77LHEPXTC119703,2026,Chevrolet,Trax,LT,21690,null
5TFVC5DB9TX19C072,2026,Toyota,Tundra,Capstone,77550,0
WBA33EJ07TCX51385,2026,BMW,7 Series,760i,129768,18
3VVGR7RM7TM092651,2026,Volkswagen,Tiguan,SE R-LINE BLACK,37472,9
1GYKNHRS5PZ122995,2023,Cadillac,XT5,Sport,33500,73913
KM8RMES27TU110866,2026,Hyundai,Palisade,Calligraphy,58860,null
3C6MRVJG5TE182538,2026,RAM,ProMaster Cargo Van,Tradesman,51382,0
KL77LJEP9TC113043,2026,Chevrolet,Trax,RS,25451,5
1V2FN2CA0TC532765,2026,Volkswagen,Atlas,SEL Premium R-Line,52531,5
4JGFF5KE4TB513805,2026,Mercedes-Benz,GLS,Base,93667,3626
5TDEBRCH0TS20A761,2026,Toyota,Highlander,Platinum,57733,null
4JGFF5KE4TB655443,2026,Mercedes-Benz,GLS,Base,101113,10
5FNYF9H81TB073660,2026,Honda,Passport,TrailSport Elite Blackout,55800,0
5TDAAAB66TS21G899,2026,Lexus,TX,Luxury,74052,null
KMHD74LF7JU453526,2018,Hyundai,Elantra,SE,null,83974
1V2FE2CA8SC226749,2025,Volkswagen,Atlas Cross Sport,SEL Premium R-LINE,44900,11807
5TDKDRBHXPS508424,2023,Toyota,Highlander,XSE,38395,59694
1C4RJKAG2T8567120,2026,Jeep,Grand Cherokee L,Laredo,40732,10
1V2HN2CA3TC548936,2026,Volkswagen,Atlas,SE w/Tech,44340,6
KM8RJES2XTU057332,2026,Hyundai,Palisade,XRT Pro,49441,10
3N1AB9CV3TY234575,2026,Nissan,Sentra,SV,24213,10
WP1BA2AY7TDA39489,2026,Porsche,Cayenne Coup,Base,109410,null
2C3CDXL9XPH587693,2023,Dodge,Charger,SRT,105000,112
2T3W1RFV1SC332642,2025,Toyota,RAV4,XLE,34900,7773
1C4RDJDG2MC750500,2021,Dodge,Durango,GT Plus,28865,48263
KL79MTSL9SB009546,2025,Chevrolet,Trailblazer,RS,25900,26535
KL79MUSL8TB194518,2026,Chevrolet,Trailblazer,RS,34615,null
3VVBR7RM3TM059009,2026,Volkswagen,Tiguan,S,30295,10
5UX53GP08T9392705,2026,BMW,X3,30,61950,4
5UX43EU03T9348129,2026,BMW,X5,50e,86363,7
2T2BAMCA8TC19C876,2026,Lexus,RX,350,71623,0
3FMCR9BN5TRE14097,2026,Ford,Bronco Sport,Big Bend,34364,8
JN8BT3DDXTW314761,2026,Nissan,Rogue,Platinum,39595,5
KM8RLESA5TU094712,2026,Hyundai,Palisade,SEL,48140,13
1GT49RE79LF106093,2020,GMC,Sierra 2500 Denali HD,Denali,51500,79849
3GTU2NEJ8HG154697,2017,GMC,Sierra 1500,SLT,26995,83268
5J8YE1H03PL042929,2023,Acura,MDX,A-Spec Package,41989,null
1GAZGNFP9S1105937,2025,Chevrolet,Express Passenger,LS,42985,19930
KNDEUCAA0T7945948,2026,Kia,Seltos,S,29593,6
1GTUUCED9TZ291410,2026,GMC,Sierra 1500,Elevation,56750,5
3MVDMBCL8TM109720,2026,Mazda,CX-30,Aire Edition,32122,6
JF2GUSND2T8251488,2026,Subaru,Crosstrek,Limited,39057,1
1FMUK8HH8TGB64074,2026,Ford,Explorer,Platinum,52096,null
KL77LHEP2SC235685,2025,Chevrolet,Trax,LT,22913,33867
5NMP2DGL2TH220275,2026,Hyundai,Santa Fe,SEL,39295,null
2C3CDAMP6TR239128,2026,Dodge,Charger,Scat Pack,58285,7
W1N4M4HB8TW470791,2026,Mercedes-Benz,GLB,GLB 250,54678,0
2T36CRAV3TW22J284,2026,Toyota,RAV4,XSE,47893,0
WA1EAAFY6P2104118,2023,Audi,Q5,Premium Plus,30906,39521
YV4L12UM1T2756736,2026,Volvo,XC40,Ultra,53635,10
JM3KMDHA0T0121768,2026,Mazda,CX-5,S Premium,38441,3
3GTUUFEL0TG232674,2026,GMC,Sierra 1500,AT4X,78999,3
4S4SLDA68T3119665,2026,Subaru,Forester,Base,31839,null
KL4AMGSL6TB146737,2026,Buick,Encore GX,Avenir,35015,5
3GNAXKEV9LS539138,2020,Chevrolet,Equinox,LT,15205,82407
1GYS4FKL8PR421214,2023,Cadillac,Escalade,Sport,73857,38968
3GNAXVEX3LL100837,2020,Chevrolet,Equinox,LT,19615,53337
WAUW4GF57NN004127,2022,Audi,S5 Cabriolet,Premium Plus,43359,49160
4JGFD6BB5SB410862,2025,Mercedes-Benz,GLE Coupe,GLE 53 AMG,86092,7333
KL79MRSL6RB123601,2024,Chevrolet,TrailBlazer,LT,21999,39618
1G1YC2D46T5110070,2026,Chevrolet,Corvette,3LT,94129,7
1FDWE3FN4RDD39393,2024,Ford,E-Series Cutaway,Base,55328,150
ZPBUA1ZL3NLA17004,2022,Lamborghini,Urus,Base,235000,3691
4JGFB4KB3LA107855,2020,Mercedes-Benz,GLE,GLE350,30991,46139
7SVAAABA4PX007215,2023,Toyota,Sequoia,SR5,66373,43245
1C4PJMCS9GW146131,2016,Jeep,Cherokee,Latitude,null,128711
7MUFBABG1TV23A081,2026,Toyota,Corolla Cross,XSE,37109,null
3C6LRVDG8TE177101,2026,RAM,ProMaster Cargo Van,Tradesman,45925,13
JM1NDAC72T0702799,2026,Mazda,MX-5 Miata,Club,35650,5
JTHGZ1E29T5046713,2026,Lexus,IS,350 F SPORT,56238,null
5FNYF8H82RB002566,2024,Honda,Passport,Black Edition,36999,36045
4JGDM2EB5PA029392,2023,Mercedes-Benz,EQS SUV,Base,50999,26366
5LMPJ8J42TJ997909,2026,Lincoln,Nautilus,Premiere,54821,16
1C4PJXANXTW265816,2026,Jeep,Wrangler 2-Door,Willys,48562,10
1V2CN2CA7TC569833,2026,Volkswagen,Atlas,Atlas Peak Edition,45426,9
LRBFZSR47TD062718,2026,Buick,Envision,Avenir,51024,0
3N8AP6DD1TL334596,2026,Nissan,KICKS,SR AWD,30117,null
3GN7DNRR9TS128890,2026,Chevrolet,Equinox EV,2LT,42858,307
KL77LJEPXTC058957,2026,Chevrolet,Trax,RS,28120,9
4T1G11AK0NU076086,2022,Toyota,Camry,SE,21005,66033
1FTFW1RJ7SFB36216,2025,Ford,F-150,Raptor,227499,31
1V2DR2CA4RC582699,2024,Volkswagen,Atlas,SE,30800,12533
3GKALVEG2RL250245,2024,GMC,Terrain,SLT,25878,44058
1FA6P8TH6R5116234,2024,Ford,Mustang,EcoBoost Premium,37293,55
1C6SRFU92NN416207,2022,RAM,Ram 1500,TRX,84404,23029
1FTFW3LD9TFA13825,2026,Ford,F-150,XLT,63532,7
5TDACAB54TS19F925,2026,Toyota,Grand Highlander,XLE,55535,0
3VVVC7B27TM053124,2026,Volkswagen,Taos,SE,31666,12
3FMCR9BN2SRF35667,2025,Ford,Bronco Sport,Big Bend,33984,null
5TDXSKFC6TS19E657,2026,Toyota,Sienna,XSE,51800,null
2T36CRAV5TW18J502,2026,Toyota,RAV4,XSE,47027,0
3C4NJDCN5TT185428,2026,Jeep,Compass,Limited,30810,null
JF1VBAH66T9805649,2026,Subaru,WRX,Base,34536,null
JTHBZ1E28T5046051,2026,Lexus,IS,350 F SPORT DESIGN,52387,null
KM8R1DHE6MU279640,2021,Hyundai,Palisade,SE,23404,70744
JTJAM7BXXP5374931,2023,Lexus,GX,PREMIUM,57977,31417
3CZRZ2H74TM771194,2026,Honda,HR-V,EX-L,32238,8
1FDRF3HN5SEE09717,2025,Ford,F-350 Super Duty Chassis Cab,XL,77725,112
1FA6P8CF1T5402997,2026,Ford,Mustang,GT Premium,176484,null
WBX73EF01T5604452,2026,BMW,X1,28i,50745,4
1C6RRFFG4TN347687,2026,RAM,Ram 1500 Pickup,Big Horn/Lone Star,57615,10
7SVAAABA7TX23C940,2026,Toyota,Sequoia,1794,81089,0
3TYLC5LN7TT065877,2026,Toyota,Tacoma,Trailhunter,62898,0
1C4SDJCT5TC233948,2026,Dodge,Durango,GT HEMI Plus V8,51885,10
1C4SDJCT4RC188672,2024,Dodge,Durango,R/T Plus,44278,29338
1FTFW1ED6NFA25760,2022,Ford,F-150,Lariat,46187,43616
5FNRL6H68SB040504,2025,Honda,Odyssey,EX-L,36000,31978
1HGCY2F70TA034977,2026,Honda,Accord,Hybrid Sport-L,37102,0
5XYRL4JC7TG436311,2026,Kia,Sorento,S,38635,11
1GKENNKS9TJ291121,2026,GMC,Acadia,Elevation,49512,5
SCFUMCEV2TGJ60843,2026,Aston Martin,Vanquish,Base,498800,38
5UX23EU0XT9465391,2026,BMW,X5,40i,82995,null
3VVGR7RM2TM039825,2026,Volkswagen,Tiguan,SE R-LINE BLACK,37493,10
1FMEE7BH0TLA49815,2026,Ford,Bronco 4-Door,Big Bend,51797,9
KM8RMES28TU071690,2026,Hyundai,Palisade,Calligraphy,56310,20
2HGFE1E53TH475925,2026,Honda,Civic,Si,32690,2
3KPFU4DE9TE311854,2026,Kia,K4,EX,24735,5
W1N4N4HB2TJ787136,2026,Mercedes-Benz,GLA,GLA 250,43402,2672
2T2BAMCA8RC077134,2024,Lexus,RX,350 F SPORT,54390,20138
KM8KH3AC7PU009238,2023,Hyundai,Kona,N,23410,11449
1GKB0RDC8RU107826,2024,GMC,HUMMER EV,3X,73962,2277
JF2GUADC5R8279801,2024,Subaru,Crosstrek,Premium,27326,5958
5TDAAAB51TS19F662,2026,Toyota,Grand Highlander,XLE,52870,0
4T1DAACK0TU24H310,2026,Toyota,Camry,LE,31638,0
3FTTW8SA4SRB09905,2025,Ford,Maverick,Lariat,35969,17
3FMCR9BN4TRE06315,2026,Ford,Bronco Sport,Big Bend,34935,27
LRBFZSR43TD011314,2026,Buick,Envision,Avenir,46750,3853
4S4GUHM61T3767578,2026,Subaru,Crosstrek,Limited,37224,6
JM1BPABL4T1885321,2026,Mazda,Mazda3,Select Sport,26791,10
WAULDAF82TN002633,2026,Audi,A8,Base,91749,10
1FMWK8GC7TGB62587,2026,Ford,Explorer,ST,55202,12
LRBFZSR45TD025697,2026,Buick,Envision,Avenir,51259,5
3KPFT4DE7TE320586,2026,Kia,K4,LXS,24135,5
WP0BB2A94NS232432,2022,Porsche,911,GTS,205800,4092
WDDLJ6HBXFA133697,2015,Mercedes-Benz,CLS-Class,CLS400,23378,46063
4T1DBADK4SU036293,2025,Toyota,Camry,XSE,34366,8911
ZARFANBN5K7622834,2019,Alfa Romeo,Giulia,Ti,18000,55255
1FTER4HH8SLE57380,2025,Ford,Ranger,XLT,42360,6
KMHLN4DJ5TU194512,2026,Hyundai,Elantra,Limited,31214,14
3FMCR9CN4TRE58459,2026,Ford,Bronco Sport,Outer Banks,41010,null
5YM13ET05T9213344,2026,BMW,X5 M,X5 M,137853,5
1FMUK8DH6TGB07734,2026,Ford,Explorer,Active,null,null
3N1AB9CV2TY245339,2026,Nissan,Sentra,SV,22564,5
1GC4YNEY5PF178113,2023,Chevrolet,Silverado 2500HD,LT,64995,57837
4S4BTACC5L3262252,2020,Subaru,Outback,Premium,23302,50217
JM3KKEHC5T1386628,2026,Mazda,CX-90,Premium Plus Package,55178,8
4T1DBADK3TU20F788,2026,Toyota,Camry,LE,33141,0
7JDEV3KK8SG020537,2025,Volvo,EX90,Plus,75325,null
3CZRZ2H73TM772420,2026,Honda,HR-V,EX-L,33755,3
KMHL64JA2TA582736,2026,Hyundai,Sonata,SEL,30417,5
5TFMC5DB2TX140578,2026,Toyota,Tundra,1794 Edition,75739,0
7FARS6H93TE107383,2026,Honda,CR-V,Sport Touring,41369,15
7MUDAABG7TV24C049,2026,Toyota,Corolla Cross,XLE,35349,0
JTJHKCFZ6T2085064,2026,Lexus,NX PHEV,450h+,67844,0
JF2GUSGD3T8251254,2026,Subaru,Crosstrek,Sport,36457,1
3FTTW8H37TRA73170,2026,Ford,Maverick,XLT,33135,0
JTJGD7CX4T4011503,2026,Lexus,LX,Luxury,123298,10
2T2BCMEA6PC002629,2023,Lexus,RX Hybrid,500h,47995,79242
1N6ED1EK7TN663869,2026,Nissan,Frontier,PRO-4X,null,null
3N8AP6BE4TL409450,2026,Nissan,KICKS,S,24631,7
1FTBR1Y80SKA74220,2025,Ford,Transit Van,Base,50422,18
5UX43EU05T9270145,2026,BMW,X5,50e,88963,11
3FMCR9BN3TRE76811,2026,Ford,Bronco Sport,Big Bend,37552,0
4S4GUHU69T3727460,2026,Subaru,Crosstrek,Wilderness,38507,4
5LM5J7XC5TGL09334,2026,Lincoln,Aviator,Reserve,79280,135
3GTU2WEJ9FG293353,2015,GMC,Sierra 1500 Denali,Denali,21963,109398
5UXCR6C09N9M26661,2022,BMW,X5,40i,34400,68009
4T1DBADK4TU21C653,2026,Toyota,Camry,XLE,42874,null
1C4SDJCT9TC256276,2026,Dodge,Durango,GT HEMI Plus V8,51731,12
JF2BURMD4TY521857,2026,Subaru,Outback,Wilderness,47688,null
KL47LAEP1TB135251,2026,Buick,Envista,Preferred,27759,4
WBY33HG08VCX72937,2027,BMW,i5,40,77013,5
3C6MRVHG9TE174013,2026,RAM,ProMaster Cargo Van,Tradesman,56115,42
JF2BURJD5TY485522,2026,Subaru,Outback,Touring,50518,42
3N1AB9DV8TY259910,2026,Nissan,Sentra,SR,24814,10
1C4HJXDG9KW616649,2019,Jeep,Wrangler Unlimited,Sport S,23107,58573
1FMUK8KH2SGC05693,2025,Ford,Explorer,ST-LINE,38481,18064
5FNRL6H73JB106349,2018,Honda,Odyssey,EX-L,23500,67382
7MUAAAAG2TV175540,2026,Toyota,Corolla Cross,L,27698,3
2T2BAMCA6RC060025,2024,Lexus,RX,350,50990,24771
1C4RDJAG7RC237416,2024,Dodge,Durango,SXT,29395,22514
1GYFZFR46PF109086,2023,Cadillac,XT4,Sport,28973,28198
1C4RJHBR0TC258827,2026,Jeep,Grand Cherokee,Limited,44606,9
5J8YE1H3XTL035027,2026,Acura,MDX,Base,55450,10
5FNRL6H89TB062630,2026,Honda,Odyssey,Touring,45333,8
1FT7W2BT7TEC66137,2026,Ford,F-250 Super Duty,Lariat,82193,4
1FMJK1M8XTEA26788,2026,Ford,Expedition,Platinum,77352,10
1C4RJHBR5T8593715,2026,Jeep,Grand Cherokee,Limited Reserve,54905,null
5UX53DP09R9U80220,2024,BMW,X3,30i,44300,14192
W1KMK4HBXTF119240,2026,Mercedes-Benz,CLE,CLE 300,75185,6
5NMJECDE4TH699411,2026,Hyundai,Tucson,Limited,42918,1
1C4RJKER2T8585192,2026,Jeep,Grand Cherokee L,Summit,72498,null
3FMCR9CN8TRE23827,2026,Ford,Bronco Sport,Outer Banks,40644,5
1GKENKKS0RJ185602,2024,GMC,Acadia,Elevation,34186,43577
KL79MPSL2PB113844,2023,Chevrolet,TrailBlazer,LT,21834,23397
3FA6P0D96LR193313,2020,Ford,Fusion,Titanium,14236,102215
3N1AB8BV6SY368197,2025,Nissan,Sentra,S,21393,90
3MVDMBCM9SM772804,2025,Mazda,CX-30,Preferred,24708,27269
4T3MWRFV7NU055233,2022,Toyota,RAV4,LE,33872,28051
5J8YE1H45TL008584,2026,Acura,MDX,Technology Package,61350,25
1FTEW2LP3TKD70991,2026,Ford,F-150,STX,41853,3
2C4RC1BG0TR217945,2026,Chrysler,Pacifica,Select,48392,13
1FTBW3X86PKA00278,2023,Ford,Transit Van,Base,46367,29890
3C4PJMB28TT154304,2026,Jeep,Cherokee,Limited,39826,3
1FMCU9GN3TUA07024,2026,Ford,Escape,Active,31152,5
KM8RLESA2TU082534,2026,Hyundai,Palisade,SEL,48147,10
W1KAF4HB7TR351364,2026,Mercedes-Benz,C-Class Sedan,C 300,63963,10
KL77LHEP7TC145059,2026,Chevrolet,Trax,LT,26845,3
5J8TC2H87TL005291,2026,Acura,RDX,A-Spec w/ Advance Package,52919,3126
JTJABABBXRA007531,2024,Lexus,RZ,Premium,28975,55328
W1Y4KCHY6RT164321,2024,Mercedes-Benz,Sprinter Cargo Van,Base,46635,12198
WBS13HJ0XSFT76173,2025,BMW,M3 Sedan,M3,92991,2553
1FTYE1YM4GKA68477,2016,Ford,Transit,Base,12778,151277
KM8RMES26TU060459,2026,Hyundai,Palisade,Calligraphy,55745,16
1C4PJXDG7SW582285,2025,Jeep,Wrangler 4-Door,Sport S,45034,10
1FTFW4L80SFC62991,2025,Ford,F-150,Tremor,null,null
5XYP34GC1RG532197,2024,Kia,Telluride,EX,38988,4483
WP1BA2AY2TDA36516,2026,Porsche,Cayenne Coup,Base,107994,3168
1GKTENDE6TU600122,2026,GMC,HUMMER EV,2X,80962,4692
5XYP6DHC6MG104964,2021,Kia,Telluride,S,18306,133656
KM8RHESA5TU094257,2026,Hyundai,Palisade,SEL Premium,51582,0
WA1ABCFJ1T1031847,2026,Audi,Q3,Base,48583,15
KMHLS4DG2TU152344,2026,Hyundai,Elantra,SEL,24327,64
KNDNB4H32R6302986,2024,Kia,Carnival,LX Seat Pkg,30643,36076
3FMCR9C66RRE38621,2024,Ford,Bronco Sport,Outer Banks,29990,16954
3GCNAAED0RG393429,2024,Chevrolet,Silverado 1500,Work Truck,28691,21317
1FMJK1PT5MEA52670,2021,Ford,Expedition,King Ranch,37887,100933
KL79MRSL3SB214668,2025,Chevrolet,Trailblazer,LT,23775,27869
KMHL64JA5NA232536,2022,Hyundai,Sonata,SEL,20995,29953
SALE27EU1T2625965,2026,Land Rover,Defender,X-Dynamic SE,94641,1
SALE2EEU8T2625448,2026,Land Rover,Defender,X-Dynamic SE,null,1
5J8TC2H55TL010544,2026,Acura,RDX,Technology Package,49750,5
KM8RHESA6TU093067,2026,Hyundai,Palisade,SEL Premium,51905,null
JN8AY3DE3S9400996,2025,Nissan,Armada,PRO-4X,67900,3562
3N1AB9CV2TY215631,2026,Nissan,Sentra,SV,24155,7
